%1. Title: CK database - Feature_Emotion dataset
%
%2. Source: 
%	(a)Data   :cohn-kanade database
%	(b)Creater:Yean Seanglidet
%	(c)Date   :12-Feb-2014
@relation emotion

@ATTRIBUTE feature1 real
@ATTRIBUTE feature2 real
@ATTRIBUTE feature3 real
@ATTRIBUTE feature4 real
@ATTRIBUTE feature5 real
@ATTRIBUTE feature6 real
@ATTRIBUTE feature7 real
@ATTRIBUTE feature8 real
@ATTRIBUTE feature9 real
@ATTRIBUTE feature10 real
@ATTRIBUTE feature11 real
@ATTRIBUTE feature12 real
@ATTRIBUTE feature13 real
@ATTRIBUTE class {Surprise,Fear,Happy,Sad,Disgust,Anger}

@DATA
0.128205,0.121704,0.13281,0.124036,2.27179,2.42874,5.50849,0.472324,0.454108,0.338438,0.337772,0.197877,0.183721,Fear
0.121458,0.128822,0.150274,0.128702,2.05927,2.19938,2.74352,0.517147,0.504412,0.330779,0.336471,0.212869,0.208606,Fear
0.130938,0.126601,0.139031,0.136644,2.04942,2.0293,6.13935,0.436909,0.43125,0.319461,0.315286,0.182364,0.176353,Fear
0.121549,0.121337,0.134639,0.130513,2.09017,2.05005,5.67094,0.431026,0.430831,0.325167,0.334047,0.17202,0.166352,Fear
0.125261,0.113663,0.123057,0.121862,2.61572,2.69499,5.41589,0.461486,0.45532,0.338316,0.343949,0.189392,0.175188,Fear
0.133697,0.122804,0.14616,0.134739,2.53722,2.55559,4.65872,0.480182,0.490114,0.354669,0.356641,0.18303,0.181747,Fear
0.122815,0.135716,0.145103,0.136886,2.24763,2.24461,3.56478,0.501534,0.49641,0.371737,0.368159,0.175612,0.179824,Surprise
0.13878,0.151994,0.163379,0.149164,3.21731,2.89968,64.0474,0.511644,0.526433,0.354977,0.38266,0.193297,0.198865,Surprise
0.150118,0.160317,0.161255,0.152361,2.61009,2.50831,29.5349,0.498858,0.502215,0.347412,0.357908,0.197945,0.195161,Surprise
0.143273,0.139025,0.140589,0.150563,2.31678,2.4072,28.1607,0.454372,0.461249,0.33314,0.357404,0.157774,0.16742,Surprise
0.148235,0.14598,0.148171,0.150793,2.97565,2.96866,27.5677,0.486607,0.492472,0.336192,0.34922,0.198512,0.201783,Surprise
0.162699,0.153031,0.160768,0.154914,2.57732,2.59377,153.216,0.482559,0.491899,0.344978,0.374916,0.18579,0.177484,Surprise
0.152569,0.153935,0.163621,0.160286,2.78487,2.82739,31.0297,0.493657,0.490125,0.337609,0.360596,0.200837,0.198241,Surprise
0.147806,0.152117,0.164436,0.151686,2.47588,2.40894,36.3658,0.503227,0.515171,0.337829,0.359429,0.21577,0.217717,Surprise
0.155905,0.156308,0.157845,0.158795,2.42124,2.47931,31.2095,0.466098,0.470746,0.330566,0.348433,0.175419,0.178742,Surprise
0.115917,0.130006,0.137852,0.128457,2.46994,2.45584,32.703,0.519399,0.510266,0.373887,0.371134,0.180478,0.191278,Sad
0.116883,0.112458,0.117656,0.122337,3.00083,2.87824,18.2714,0.513509,0.501201,0.349286,0.355737,0.203266,0.210179,Sad
0.106704,0.11497,0.112771,0.13552,3.17671,2.91116,14.4934,0.51048,0.509649,0.356868,0.364003,0.188989,0.20765,Sad
0.112193,0.123595,0.125935,0.118538,2.79823,2.64524,23.989,0.5031,0.507022,0.365549,0.37354,0.181833,0.189712,Sad
0.116066,0.126862,0.142962,0.137895,2.44865,2.58036,34.5072,0.478339,0.468809,0.343421,0.359241,0.169515,0.178248,Sad
0.119331,0.140474,0.146376,0.137137,2.8101,2.83294,28.5738,0.512545,0.494056,0.364676,0.361383,0.182672,0.192244,Sad
0.116345,0.117631,0.121057,0.118229,2.57112,2.5826,23.6985,0.483496,0.479837,0.358508,0.363861,0.158689,0.170143,Sad
0.113828,0.118407,0.136919,0.130701,3.02081,2.8684,17.9947,0.498145,0.500652,0.364685,0.374711,0.176587,0.188598,Sad
0.116994,0.12588,0.152444,0.136395,2.54776,2.48512,25.0487,0.474646,0.486433,0.347383,0.364371,0.176181,0.192329,Sad
0.125277,0.107906,0.121457,0.124229,2.91424,2.92976,17.7163,0.498528,0.490192,0.361499,0.371654,0.171579,0.179,Sad
0.127467,0.116909,0.121713,0.121061,2.49936,2.59308,15.4879,0.485208,0.463684,0.362742,0.349833,0.167612,0.169615,Sad
